# FEM Structure Data File
# Generated by FEM Pre-Processor
# Date: 2025-12-01 15:41:10.180206

MATERIALS
STEEL 2.100000e+11 0.300000

NODES
# Node_ID X Y Z
1 2.028000 -0.847500 0.000000
2 2.028000 0.847500 0.000000
3 3.424409 -0.847500 1.281141
4 4.029080 -0.847500 2.864618
5 4.633751 -0.847500 4.448094
6 5.238422 -0.847500 6.031571
7 5.843093 -0.847500 7.615047
8 6.447764 -0.847500 9.198524
9 7.052435 -0.847500 10.782001
10 3.424409 0.847500 1.281141
11 4.029080 0.847500 2.864618
12 4.633751 0.847500 4.448094
13 5.238422 0.847500 6.031571
14 5.843093 0.847500 7.615047
15 6.447764 0.847500 9.198524
16 7.052435 0.847500 10.782001
17 1.840933 -0.847500 1.885812
18 2.445604 -0.847500 3.469289
19 3.050274 -0.847500 5.052765
20 3.654945 -0.847500 6.636242
21 4.259616 -0.847500 8.219718
22 4.864287 -0.847500 9.803195
23 1.840933 0.847500 1.885812
24 2.445604 0.847500 3.469289
25 3.050274 0.847500 5.052765
26 3.654945 0.847500 6.636242
27 4.259616 0.847500 8.219718
28 4.864287 0.847500 9.803195
29 8.333576 0.000000 9.385591
30 -2.028000 0.000000 1.930000
31 -2.028000 -0.847500 1.930000
32 -2.028000 0.847500 1.930000

ELEMENTS
# Elem_ID Node1 Node2 CrossSection E nu
47 26 27 5.670000e-04 2.100000e+11 0.300000
48 27 28 5.670000e-04 2.100000e+11 0.300000
49 1 3 5.670000e-04 2.100000e+11 0.300000
50 1 17 5.670000e-04 2.100000e+11 0.300000
51 2 10 5.670000e-04 2.100000e+11 0.300000
52 2 23 5.670000e-04 2.100000e+11 0.300000
53 3 11 1.890000e-04 2.100000e+11 0.300000
54 3 18 1.890000e-04 2.100000e+11 0.300000
55 3 23 1.890000e-04 2.100000e+11 0.300000
56 4 10 1.890000e-04 2.100000e+11 0.300000
57 4 12 1.890000e-04 2.100000e+11 0.300000
58 4 17 1.890000e-04 2.100000e+11 0.300000
59 4 19 1.890000e-04 2.100000e+11 0.300000
60 4 24 1.890000e-04 2.100000e+11 0.300000
61 5 11 1.890000e-04 2.100000e+11 0.300000
62 5 13 1.890000e-04 2.100000e+11 0.300000
63 5 18 1.890000e-04 2.100000e+11 0.300000
64 5 20 1.890000e-04 2.100000e+11 0.300000
65 5 25 1.890000e-04 2.100000e+11 0.300000
66 6 12 1.890000e-04 2.100000e+11 0.300000
67 6 14 1.890000e-04 2.100000e+11 0.300000
68 6 19 1.890000e-04 2.100000e+11 0.300000
69 6 21 1.890000e-04 2.100000e+11 0.300000
70 6 26 1.890000e-04 2.100000e+11 0.300000
71 7 13 1.890000e-04 2.100000e+11 0.300000
72 7 15 1.890000e-04 2.100000e+11 0.300000
73 7 20 1.890000e-04 2.100000e+11 0.300000
74 7 22 1.890000e-04 2.100000e+11 0.300000
75 7 27 1.890000e-04 2.100000e+11 0.300000
76 8 14 1.890000e-04 2.100000e+11 0.300000
77 8 16 1.890000e-04 2.100000e+11 0.300000
78 8 21 1.890000e-04 2.100000e+11 0.300000
79 8 28 1.890000e-04 2.100000e+11 0.300000
80 9 15 1.890000e-04 2.100000e+11 0.300000
81 9 22 1.890000e-04 2.100000e+11 0.300000
82 10 17 1.890000e-04 2.100000e+11 0.300000
83 10 24 1.890000e-04 2.100000e+11 0.300000
84 11 18 1.890000e-04 2.100000e+11 0.300000
85 11 23 1.890000e-04 2.100000e+11 0.300000
86 11 25 1.890000e-04 2.100000e+11 0.300000
87 12 19 1.890000e-04 2.100000e+11 0.300000
88 12 24 1.890000e-04 2.100000e+11 0.300000
89 12 26 1.890000e-04 2.100000e+11 0.300000
90 13 20 1.890000e-04 2.100000e+11 0.300000
91 13 25 1.890000e-04 2.100000e+11 0.300000
92 13 27 1.890000e-04 2.100000e+11 0.300000
93 14 21 1.890000e-04 2.100000e+11 0.300000
94 14 26 1.890000e-04 2.100000e+11 0.300000
95 14 28 1.890000e-04 2.100000e+11 0.300000
96 15 22 1.890000e-04 2.100000e+11 0.300000
97 15 27 1.890000e-04 2.100000e+11 0.300000
98 16 28 1.890000e-04 2.100000e+11 0.300000
99 17 24 1.890000e-04 2.100000e+11 0.300000
100 18 23 1.890000e-04 2.100000e+11 0.300000
101 18 25 1.890000e-04 2.100000e+11 0.300000
102 19 24 1.890000e-04 2.100000e+11 0.300000
103 19 26 1.890000e-04 2.100000e+11 0.300000
104 20 25 1.890000e-04 2.100000e+11 0.300000
105 20 27 1.890000e-04 2.100000e+11 0.300000
106 21 26 1.890000e-04 2.100000e+11 0.300000
107 21 28 1.890000e-04 2.100000e+11 0.300000
108 22 27 1.890000e-04 2.100000e+11 0.300000
109 29 8 1.890000e-04 2.100000e+11 0.300000
110 29 9 1.890000e-04 2.100000e+11 0.300000
111 29 15 1.890000e-04 2.100000e+11 0.300000
112 29 16 1.890000e-04 2.100000e+11 0.300000
113 9 28 1.890000e-04 2.100000e+11 0.300000
114 16 22 1.890000e-04 2.100000e+11 0.300000
115 23 1 1.890000e-04 2.100000e+11 0.300000
116 2 17 1.890000e-04 2.100000e+11 0.300000
117 1 10 1.890000e-04 2.100000e+11 0.300000
118 2 3 1.890000e-04 2.100000e+11 0.300000
119 22 30 1.890000e-04 2.100000e+11 0.300000
120 28 30 1.890000e-04 2.100000e+11 0.300000
121 19 31 1.890000e-04 2.100000e+11 0.300000
122 25 32 1.890000e-04 2.100000e+11 0.300000

BOUNDARY_CONDITIONS
# Node_ID Ux Uy Uz (0=free, 1=fixed)
1 1 1 1
2 1 1 1
30 1 1 1
31 1 1 1
32 1 1 1

LOADS
# Node_ID Fx Fy Fz (Newtons)
29 0.000000 0.000000 -2000.000000

END
